geneId,geneSymbol,DSI,DPI,PLI,protein_class_name,protein_class,NofDiseases,NofPmids
1,A1BG,0.7,0.538,4.9917e-09,Receptor,DTO_05007575,27,20
2,A2M,0.529,0.769,4.5229e-11,Enzyme modulator,DTO_05007584,147,145
9,NAT1,0.536,0.846,1.9294e-14,Enzyme,DTO_05007624,133,184
10,NAT2,0.451,0.885,3.2744e-06,Enzyme,DTO_05007624,311,627
12,SERPINA3,0.486,0.846,8.833e-14,Enzyme modulator,DTO_05007584,229,300
13,AADAC,0.631,0.615,0.0029108,Enzyme,DTO_05007624,54,42
16,AARS1,0.647,0.462,1.8242e-08,Nucleic acid binding,DTO_05007557,84,20
18,ABAT,0.628,0.538,0.0063216,Enzyme,DTO_05007624,127,49
19,ABCA1,0.467,0.846,1.4525e-13,Transporter,DTO_05007405,291,632
20,ABCA2,0.67,0.615,1.0,Transporter,DTO_05007405,38,31
21,ABCA3,0.592,0.615,6.6226e-08,Transporter,DTO_05007405,84,105
22,ABCB7,0.678,0.385,0.99994,Transporter,DTO_05007405,49,26
23,ABCF1,0.674,0.538,1.2823e-09,Enzyme,DTO_05007624,31,19
24,ABCA4,0.493,0.769,5.3499e-48,Transporter,DTO_05007405,227,433
25,ABL1,0.432,0.923,0.99998,Kinase,DTO_03300101,395,2802
27,ABL2,0.619,0.654,3.6365e-07,Kinase,DTO_03300101,56,38
29,ABR,0.65,0.5,0.62738,Enzyme modulator,DTO_05007584,46,34
30,ACAA1,0.729,0.462,3.5904e-09,Enzyme,DTO_05007624,15,15
33,ACADL,0.736,0.462,1.743e-12,Enzyme,DTO_05007624,46,17
34,ACADM,0.638,0.462,2.0548e-12,Enzyme,DTO_05007624,94,152
37,ACADVL,0.653,0.654,4.2385e-15,Enzyme,DTO_05007624,87,102
38,ACAT1,0.538,0.692,9.8525e-08,Enzyme,DTO_05007624,176,130
39,ACAT2,0.686,0.462,5.5303e-07,Enzyme,DTO_05007624,35,22
40,ASIC2,0.653,0.538,0.99912,Ion channel,DTO_01300327,50,39
41,ASIC1,0.653,0.615,0.93017,Ion channel,DTO_01300327,52,39
43,ACHE,0.445,0.885,0.99827,Enzyme,DTO_05007624,418,850
47,ACLY,0.563,0.692,0.083556,Enzyme,DTO_05007624,109,126
